Sample File,C:\Documents and Settings\Administrator\Desktop\Pier2009\SMPS\SMPS_080809_w_drier.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3010
Gas Viscosity (kg/(m*s)),1.8203e-005
Mean Free Path (m),6.65e-008
Channels/Decade,64
Multiple Charge Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Date,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09
Start Time,15:51:39,15:56:39,16:01:39,16:06:39,16:11:39,16:16:39,16:21:39,16:26:39,16:31:39,16:36:39,16:41:39,16:46:39,16:51:39,16:56:39,17:01:39
Diameter Midpoint
145.9,1624.64,1457.1,1491.1,1535.7,1757.12,1540.23,1524.97,1413.18,1447.47,1626.33,1652.41,1292.91,1458.38,1774.25,1673.9
151.2,1540.15,1603.48,1551.84,1517.53,1577.82,1613.89,1608.09,1561.87,1473.72,1575.12,1516.28,1610.09,1438.03,1305.41,1413.24
156.8,1576.37,1586.71,1656.99,1588.72,1743.52,1590.71,1466.82,1813.26,1620.7,1715.62,1858.02,1405.96,1367.24,1719.4,1354.53
162.5,1591.1,1930.55,1609.09,1574.22,1634.44,1668.59,1569.85,1810.9,1609.47,1862.27,1551.9,1755.78,1623.27,1801.74,1666.22
168.5,2029.83,1634.89,1737.15,1958.9,1609.79,1810.75,1781.95,1865.18,1983.95,1726.94,1618.26,1566.33,1523.9,1679.33,1518.47
174.7,1865.29,1837.19,1679.68,1356.98,1851.32,2107.16,1424.89,1745.92,1486.27,1917.5,1756.39,1690.38,1485.11,1801.68,1719.9
181.1,2063.76,2023.47,1841.65,2056.43,2024.33,1736.45,1813.74,1893.98,1828.28,1559.47,1896.73,1725.45,1745.29,1904.59,1643.97
187.7,1885.31,1966.64,1847.99,1506.91,1955.81,1876.83,1570.67,1899.99,1561.58,1657.1,1626.14,1961.85,1659.96,1801.61,1663.46
194.6,1858.27,1816.19,1772.18,1769.83,1466.35,2003.03,1773.88,1786.82,1995.17,1691.54,1689.79,2169.56,1501.49,1851.63,1545.62
201.7,1805.78,1820.77,1928.9,1539.5,1389.35,1333.73,1818.11,1777.3,1725.26,1969.06,1533.79,1685.01,1693.85,1733.66,1723.75
209.1,1789.96,1698.41,1742.07,1807.56,1700.43,1659.74,1717.14,1552.79,1482.44,1766.86,1460.87,1649.26,1892.98,1719.29,1887.75
216.7,1819.86,1752.35,1603.1,1657.9,2018.73,1497.98,1918.19,1478.79,1725.91,1405.02,1807.17,1749.5,1503.23,1615.11,2025.24
224.7,1494.94,1880.43,1610.26,1556.21,1595.82,1773.97,1560.06,1908.17,1628.11,1914.93,1652.36,1935.43,1502.39,1879.27,1930.93
232.9,1776.18,1594.36,1820.85,1611.19,1594.95,1942.49,1707.76,1722.51,1784.65,1609.07,1471.59,1860.53,1363.72,1600.19,1407.08
241.4,1548.87,1663.45,1572.19,1612.24,1806.74,1534.39,1412.59,1538.88,1347.68,1813.56,1573.06,1490.91,1724.77,1501.93,1626.85
250.3,1381.72,1220.46,1683.7,1486.54,1606.09,1635.39,1652.91,1400.61,1338.41,1642.83,1264.35,1532.68,1623.13,1292.34,1473.99
259.5,1095.15,1363.72,1490.03,1560.77,1397.01,1433.8,1530.64,1300,1435.54,1415.78,1709.25,1456.27,1291.54,1258.09,1441.46
269.0,1182.27,1491.26,1514.47,1414.35,1170.3,1537.53,1519.8,1464.52,1405.78,1330.93,1555.1,1394.47,1420.73,1451.27,1247.33
278.8,1541.35,1394.66,1314.79,1313.18,1280.37,1275.78,1295.4,1388.82,1097.84,1395.03,1568.37,1401.46,1348.2,1177.71,1243.75
289.0,1374.04,1358.61,1353.2,1451.07,1378.15,1230.72,1355.69,1067.49,1007.66,1332.41,1004.08,1256.85,1098.68,1253.17,1120.63
299.6,1316.08,1237.22,1459.88,1017.73,1394.8,1001.19,1120.45,1119.63,1323.11,1150.36,1417.56,941.76,1223.98,1062.95,1245.09
310.6,1305.39,1241.82,1024.11,1027.87,1090.24,1306.58,1229.86,975.585,1377.33,1318.71,1238.4,1103.22,983.43,838.011,1002.41
322.0,1221.77,1046.87,972.066,1127.7,911.527,1122.12,997.669,884.519,983.658,1055.09,946.289,949.659,986.326,970.615,948.209
333.8,1037.91,1025.3,1047.08,965.151,1090.58,968.774,957.159,1008.45,842.913,886.041,919.337,842.815,765.012,880.234,979.718
346.0,866.406,1044.82,1022.03,987.879,879.696,819.128,1099.35,685.905,761.961,939.113,851.03,710.669,762.836,923.849,778.712
358.7,715.465,890.071,724.888,765.635,880.265,586.066,608.229,718.399,890.071,848.679,835.555,851.613,864.354,744.116,669.232
371.8,483.673,766.197,624.745,739.393,684.563,870.412,693.319,579.51,954.408,739.354,785.692,954.408,543.91,759.687,740.876
385.4,512.919,776.012,570.284,555.35,775.546,480.688,663.45,660.622,658.138,551.163,443.722,517.299,646.153,478.396,482.898
399.5,599.795,687.54,617.587,443.288,520.479,674.297,508.714,564.675,467.567,548.834,364.434,511.116,605.083,421.421,509.638
414.2,556.256,611.928,494.611,407.529,423.204,436.556,471.557,410.584,520.583,597.308,375.506,407.529,499.989,513.281,401.418
429.4,586.708,384.602,459.291,455.629,392.378,468.372,416.95,338.93,316.715,426.03,601.868,426.422,414.532,384.994,311.418
445.1,358.949,276.606,373.269,345.641,428.467,386.577,359.961,490.107,363.395,275.139,359.961,314.579,310.647,451.65,354.532
461.4,358.498,354.017,263.015,334.787,286.615,468.731,233.961,291.207,272.143,425.094,191.132,338.573,167.477,334.092,224.777
478.3,280.404,211.375,349.097,349.433,306.815,275.717,328.14,257.303,110.207,174.548,258.406,408.751,207.791,294.897,302.128
